year,city,country,avg_temp
1828,Victoria,Canada,6.83
1829,Victoria,Canada,6.58
1830,Victoria,Canada,
1831,Victoria,Canada,
1832,Victoria,Canada,3.25
1833,Victoria,Canada,7.27
1834,Victoria,Canada,6.81
1835,Victoria,Canada,5.35
1836,Victoria,Canada,6.52
1837,Victoria,Canada,6.61
1838,Victoria,Canada,6.37
1839,Victoria,Canada,7.12
1840,Victoria,Canada,6.45
1841,Victoria,Canada,6.59
1842,Victoria,Canada,6.64
1843,Victoria,Canada,6.25
1844,Victoria,Canada,6.15
1845,Victoria,Canada,6.62
1846,Victoria,Canada,
1847,Victoria,Canada,8.75
1848,Victoria,Canada,6.34
1849,Victoria,Canada,6.36
1850,Victoria,Canada,6.78
1851,Victoria,Canada,7.56
1852,Victoria,Canada,6.90
1853,Victoria,Canada,7.29
1854,Victoria,Canada,6.73
1855,Victoria,Canada,7.01
1856,Victoria,Canada,7.27
1857,Victoria,Canada,7.62
1858,Victoria,Canada,6.56
1859,Victoria,Canada,6.01
1860,Victoria,Canada,7.39
1861,Victoria,Canada,6.84
1862,Victoria,Canada,6.04
1863,Victoria,Canada,7.07
1864,Victoria,Canada,7.32
1865,Victoria,Canada,6.77
1866,Victoria,Canada,7.05
1867,Victoria,Canada,6.77
1868,Victoria,Canada,6.90
1869,Victoria,Canada,8.09
1870,Victoria,Canada,7.60
1871,Victoria,Canada,7.67
1872,Victoria,Canada,7.22
1873,Victoria,Canada,7.32
1874,Victoria,Canada,7.03
1875,Victoria,Canada,6.36
1876,Victoria,Canada,6.69
1877,Victoria,Canada,7.96
1878,Victoria,Canada,7.93
1879,Victoria,Canada,6.52
1880,Victoria,Canada,5.73
1881,Victoria,Canada,6.62
1882,Victoria,Canada,6.70
1883,Victoria,Canada,6.76
1884,Victoria,Canada,6.59
1885,Victoria,Canada,8.38
1886,Victoria,Canada,7.52
1887,Victoria,Canada,6.32
1888,Victoria,Canada,7.47
1889,Victoria,Canada,7.75
1890,Victoria,Canada,6.69
1891,Victoria,Canada,7.24
1892,Victoria,Canada,7.25
1893,Victoria,Canada,5.94
1894,Victoria,Canada,6.62
1895,Victoria,Canada,7.13
1896,Victoria,Canada,6.88
1897,Victoria,Canada,7.15
1898,Victoria,Canada,7.41
1899,Victoria,Canada,6.91
1900,Victoria,Canada,7.60
1901,Victoria,Canada,7.12
1902,Victoria,Canada,7.05
1903,Victoria,Canada,6.75
1904,Victoria,Canada,7.37
1905,Victoria,Canada,7.39
1906,Victoria,Canada,7.83
1907,Victoria,Canada,6.85
1908,Victoria,Canada,7.19
1909,Victoria,Canada,6.24
1910,Victoria,Canada,7.05
1911,Victoria,Canada,6.31
1912,Victoria,Canada,7.19
1913,Victoria,Canada,6.58
1914,Victoria,Canada,7.56
1915,Victoria,Canada,8.09
1916,Victoria,Canada,5.80
1917,Victoria,Canada,6.68
1918,Victoria,Canada,7.47
1919,Victoria,Canada,6.61
1920,Victoria,Canada,6.99
1921,Victoria,Canada,6.76
1922,Victoria,Canada,6.37
1923,Victoria,Canada,7.55
1924,Victoria,Canada,7.30
1925,Victoria,Canada,8.13
1926,Victoria,Canada,8.42
1927,Victoria,Canada,6.95
1928,Victoria,Canada,7.79
1929,Victoria,Canada,6.71
1930,Victoria,Canada,7.02
1931,Victoria,Canada,7.89
1932,Victoria,Canada,7.27
1933,Victoria,Canada,6.88
1934,Victoria,Canada,8.63
1935,Victoria,Canada,7.20
1936,Victoria,Canada,7.30
1937,Victoria,Canada,6.98
1938,Victoria,Canada,7.77
1939,Victoria,Canada,8.06
1940,Victoria,Canada,8.70
1941,Victoria,Canada,8.69
1942,Victoria,Canada,8.00
1943,Victoria,Canada,7.17
1944,Victoria,Canada,7.85
1945,Victoria,Canada,7.37
1946,Victoria,Canada,7.23
1947,Victoria,Canada,7.65
1948,Victoria,Canada,6.66
1949,Victoria,Canada,6.70
1950,Victoria,Canada,6.44
1951,Victoria,Canada,6.92
1952,Victoria,Canada,7.25
1953,Victoria,Canada,8.01
1954,Victoria,Canada,6.79
1955,Victoria,Canada,5.81
1956,Victoria,Canada,6.90
1957,Victoria,Canada,7.21
1958,Victoria,Canada,9.03
1959,Victoria,Canada,7.23
1960,Victoria,Canada,7.35
1961,Victoria,Canada,7.92
1962,Victoria,Canada,7.49
1963,Victoria,Canada,7.82
1964,Victoria,Canada,6.69
1965,Victoria,Canada,7.51
1966,Victoria,Canada,7.48
1967,Victoria,Canada,8.16
1968,Victoria,Canada,7.44
1969,Victoria,Canada,7.17
1970,Victoria,Canada,7.28
1971,Victoria,Canada,6.77
1972,Victoria,Canada,6.76
1973,Victoria,Canada,7.23
1974,Victoria,Canada,7.62
1975,Victoria,Canada,6.80
1976,Victoria,Canada,7.28
1977,Victoria,Canada,7.38
1978,Victoria,Canada,7.50
1979,Victoria,Canada,7.65
1980,Victoria,Canada,7.47
1981,Victoria,Canada,8.05
1982,Victoria,Canada,7.13
1983,Victoria,Canada,7.88
1984,Victoria,Canada,7.17
1985,Victoria,Canada,6.61
1986,Victoria,Canada,8.03
1987,Victoria,Canada,8.56
1988,Victoria,Canada,7.92
1989,Victoria,Canada,7.67
1990,Victoria,Canada,7.82
1991,Victoria,Canada,7.89
1992,Victoria,Canada,8.77
1993,Victoria,Canada,7.69
1994,Victoria,Canada,8.27
1995,Victoria,Canada,8.49
1996,Victoria,Canada,7.16
1997,Victoria,Canada,8.23
1998,Victoria,Canada,8.72
1999,Victoria,Canada,7.69
2000,Victoria,Canada,7.63
2001,Victoria,Canada,7.77
2002,Victoria,Canada,7.82
2003,Victoria,Canada,8.48
2004,Victoria,Canada,8.95
2005,Victoria,Canada,8.38
2006,Victoria,Canada,8.31
2007,Victoria,Canada,7.72
2008,Victoria,Canada,7.30
2009,Victoria,Canada,7.80
2010,Victoria,Canada,8.33
2011,Victoria,Canada,7.21
2012,Victoria,Canada,7.85
2013,Victoria,Canada,9.85
